"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"092и";8;8;0;0;"rapid";720
"076э";9;7;0;0;"rapid";702
"096 н";7;6;0;0;"rapid";576
"136м";6;6;0;1;"rapid";558
"118е";4;10;0;1;"rapid";702
"082и";7;6;0;1;"rapid";594
"*112м";4;9;1;1;"rapid";729
"*050м";10;3;1;2;"rapid";639
"080г";4;8;3;1;"rapid";837
"098х";4;8;3;1;"rapid";837
"232м";7;7;1;0;"rapid";711
"356йу";7;6;2;0;"pass";738
"392у";7;5;1;0;"pass";603
"132ву";8;9;0;1;"rapid";792
"072ц";5;8;0;1;"rapid";630
"084ц";9;10;0;0;"rapid";864
"064й";5;8;1;0;"rapid";693
"214й";4;8;1;0;"rapid";657
"*056м";6;5;3;1;"rapid";747
"*066й";5;10;1;1;"rapid";819
"302й";6;7;2;0;"pass";756
"068й";7;5;0;1;"rapid";540
"122й";3;8;3;0;"rapid";783
"320э";5;10;0;0;"pass";720
"330ч";5;10;0;0;"pass";720
"006ф";4;11;0;1;"rapid";756
"018щ";1;16;0;0;"rapid";900
"*028щ";9;7;0;1;"rapid";720
"360э";5;10;0;0;"pass";720
"126э";8;7;0;0;"rapid";666
"104м";6;7;0;1;"pass";612
"382€";7;6;0;1;"pass";594
"366€";7;6;0;1;"pass";594
"086в";9;6;0;1;"rapid";666
"062ч";11;6;0;1;"rapid";738
"034с";11;3;0;1;"rapid";576
"144„";11;3;0;1;"rapid";576
"*202м";0;15;0;0;"rapid";810
"16";7;9;0;0;"rapid";738
"34";8;8;0;0;"rapid";720
"40";6;8;0;1;"rapid";666
"42";9;6;0;1;"rapid";666
"44";9;9;0;0;"rapid";810
"68";8;8;0;0;"rapid";720
"74";5;10;0;1;"rapid";738
"80";7;8;0;0;"rapid";684
"94";5;10;0;1;"rapid";738
"124";8;8;0;0;"rapid";720
"134";5;9;0;1;"rapid";684
"148";7;8;0;0;"rapid";684
"206";0;14;0;0;"rapid";756
"210";13;5;0;0;"rapid";738
"234";7;7;0;1;"rapid";648
"240";11;6;0;0;"rapid";720
"268";5;9;0;0;"rapid";666
"288";6;11;0;0;"rapid";810
"306";5;8;5;0;"pass";1017
"310";10;10;0;0;"pass";900
"312";6;11;0;0;"pass";810
"320";6;6;0;1;"pass";558
"322";8;7;0;1;"pass";684
"337";10;7;1;1;"pass";837
"340";8;10;0;1;"pass";846
"347";8;10;1;1;"pass";927
"350";7;9;0;0;"pass";738
"371";3;11;1;0;"pass";783
"374";7;10;1;0;"pass";873
"376";5;6;0;1;"pass";522
"388";7;10;0;0;"pass";792
"390";7;8;0;0;"pass";684
"392";7;10;0;0;"pass";792
"424";8;8;0;0;"pass";720
"428";8;9;0;0;"pass";774
"437";7;11;0;0;"pass";846
"439";6;12;0;0;"pass";864
"442";7;10;0;0;"pass";792
"444";7;10;0;0;"pass";792
"448";16;0;0;0;"pass";576
"474";6;9;0;0;"pass";702
"486";8;7;0;0;"pass";666
"496";8;9;1;0;"pass";855
"528";0;13;0;0;"pass";702
"557";0;14;0;0;"pass";756
"582";0;14;0;0;"pass";756
"616";5;11;2;0;"pass";936
"636";10;3;2;0;"pass";684
"662я";5;9;2;0;"pass";828
"662¬";2;15;3;0;"pass";1125
"674";5;9;2;0;"pass";828
"680";6;6;0;0;"pass";540
"1/2";4;11;0;3;"rapid";792
"5/6";5;8;0;1;"rapid";630
"7/8";6;7;0;1;"rapid";612
"9/10";4;10;0;3;"rapid";738
"11/12";10;4;0;0;"rapid";576
"15/16";7;6;0;1;"rapid";594
"17/18";6;8;0;2;"rapid";684
"47/48";9;5;0;1;"rapid";612
"55/56";10;6;0;1;"rapid";702
"77/78";7;9;0;1;"rapid";756
"93/94";8;8;0;1;"rapid";738
"307/308";8;8;0;0;"pass";720
"337/338";9;5;0;0;"pass";594
"343/344";12;5;0;0;"pass";702
"363/364";9;6;0;0;"pass";648
"379/380";10;4;0;0;"pass";576
"387/388";5;6;0;0;"pass";504
"481/482";9;7;0;0;"pass";702
"523/524";6;8;0;0;"pass";648
"541/542";9;4;0;0;"pass";540
"543/544";7;8;0;1;"pass";702
"547/548";6;8;0;0;"pass";648
"25/26";4;13;0;4;"rapid";918
"29/30";8;7;0;2;"rapid";702
"31/32";13;7;0;1;"rapid";864
"81/82";6;9;0;1;"rapid";720
"83/84";9;6;0;1;"rapid";666
"281/282";7;10;0;0;"rapid";792
"283/284";13;4;0;0;"rapid";684
"605/606";12;2;2;0;"pass";702
"1/2";3;13;0;3;"rapid";864
"3/4";3;12;0;2;"rapid";792
"5/6";3;9;0;1;"rapid";612
"7/8";3;10;0;2;"rapid";684
"9/10";4;11;0;3;"rapid";792
"11/12";0;18;0;3;"rapid";1026
"13/14";4;10;0;1;"rapid";702
"15/16";0;12;0;2;"rapid";684
"17/18";16;2;0;0;"rapid";684
"19/20";0;14;0;3;"rapid";810
"21/22";5;8;0;2;"rapid";648
"25/26";5;11;0;1;"rapid";792
"27/28";5;8;0;1;"rapid";630
"29/30";0;14;0;2;"rapid";792
"31/32";4;11;0;1;"rapid";756
"33/34";6;9;0;1;"rapid";720
"35/36";3;8;0;1;"rapid";558
"39/40";4;10;0;1;"rapid";702
"43/44";7;8;0;1;"rapid";702
"47/48";6;7;0;1;"rapid";612
"49/50";8;5;0;2;"rapid";594
"51/52";6;9;0;2;"rapid";738
"53/54";8;8;0;2;"rapid";756
"55/56";12;4;0;0;"rapid";648
"57/58";9;5;0;2;"rapid";630
"59/60";7;6;0;1;"rapid";594
"61/62";8;7;0;1;"rapid";684
"65/66";6;8;0;2;"rapid";684
"67/68";15;4;0;0;"rapid";756
"71/72";8;5;0;1;"rapid";576
"75/76";4;10;0;0;"rapid";684
"83/84";8;7;0;0;"rapid";666
"85/86";8;10;0;1;"rapid";846
"89/90";8;7;0;1;"rapid";684
"91/92";4;9;0;1;"rapid";648
"93/94";5;7;0;1;"rapid";576
"95/96";7;9;0;0;"rapid";738
"99/100";4;10;0;3;"rapid";738
"101/102";0;13;0;3;"rapid";756
"103/104";2;12;0;3;"rapid";774
"111/112";6;10;0;1;"rapid";774
"117/118";9;6;0;1;"rapid";666
"123/124";12;4;0;0;"rapid";648
"125/126";9;7;0;0;"rapid";702
"131/132";9;8;0;0;"rapid";756
"201/202";13;6;0;1;"rapid";810
"217/218";13;5;0;0;"rapid";738
"221/222";5;10;0;0;"rapid";720
"247/248";13;5;0;0;"rapid";738
"301/302";10;6;0;0;"pass";684
"319/320";10;7;0;0;"pass";738
"329/330";10;7;0;0;"pass";738
"333/334";9;5;0;1;"pass";612
"351/352";12;3;0;0;"pass";594
"355/356";10;6;0;0;"pass";684
"365/366";6;9;0;1;"pass";720
"381/382";8;7;0;1;"pass";684
"391/392";8;7;0;0;"pass";666
"411/412";5;11;0;0;"pass";774
"23/24";4;9;0;2;"rapid";666
"41/42";9;9;0;1;"rapid";828
"79/80";8;6;0;1;"rapid";630
"97/98";12;5;1;0;"rapid";783
"9/10";11;6;0;1;"rapid";738
"15/16";8;7;0;1;"rapid";684
"17/18";12;4;0;1;"rapid";666
"19/20";4;10;0;2;"rapid";720
"23/24";6;14;0;1;"rapid";990
"25/26";11;7;0;1;"rapid";792
"27/28";7;8;0;1;"rapid";702
"29/30";8;9;0;1;"rapid";792
